Date,Open,High,Low,Close,Adj Close,Volume
2023-07-24,29.799999,30.410000,29.760000,30.299999,28.107456,45268100
2023-07-25,30.500000,31.049999,30.200001,31.000000,28.756805,56261000
2023-07-26,30.950001,31.219999,30.629999,31.000000,28.756805,45880200
2023-07-27,30.850000,30.889999,29.379999,29.389999,27.263308,86471900
2023-07-28,29.430000,29.950001,29.320000,29.760000,27.606533,43608600
2023-07-31,30.299999,31.150000,30.299999,31.110001,28.858847,91290800
2023-08-01,31.090000,31.090000,29.950001,30.600000,28.385752,75752400
2023-08-02,30.510000,30.580000,29.799999,30.530001,28.320816,62068400
2023-08-03,30.930000,31.129999,30.620001,30.920000,28.682594,57304400
2023-08-04,30.700001,31.139999,29.740000,30.000000,27.829166,120685800
2023-08-07,29.860001,30.500000,29.860001,30.190001,28.005419,44984900
2023-08-08,29.910000,30.389999,29.719999,30.219999,28.033245,34771300
2023-08-09,30.209999,30.719999,30.160000,30.459999,28.255880,48561500
2023-08-10,30.299999,30.860001,30.120001,30.629999,28.413578,54020200
2023-08-11,30.610001,31.040001,30.160000,30.559999,28.348644,39403200
2023-08-14,30.480000,30.740000,30.270000,30.639999,28.422855,27992700
2023-08-15,32.049999,32.150002,30.850000,30.860001,28.626936,87366200
2023-08-16,31.000000,31.980000,30.879999,31.540001,29.257732,74461000
2023-08-17,31.750000,32.189999,31.309999,31.440001,29.164967,57570600
2023-08-18,31.410000,31.680000,31.180000,31.520000,29.239180,45579700
2023-08-21,31.700001,32.029999,30.969999,31.299999,29.035095,42236900
2023-08-22,30.500000,30.610001,30.240000,30.610001,29.477407,31372200
2023-08-23,31.200001,32.240002,31.090000,32.240002,31.047096,95507400
2023-08-24,32.270000,32.720001,31.840000,32.189999,30.998943,49332300
2023-08-25,32.380001,32.470001,31.799999,31.969999,30.787085,34079000
2023-08-28,32.099998,32.340000,31.860001,32.330002,31.133766,24956100
2023-08-29,32.400002,32.500000,31.990000,32.400002,31.201176,40607500
2023-08-30,32.410000,32.700001,32.299999,32.619999,31.413034,34637900
2023-08-31,32.709999,32.790001,31.879999,31.940001,30.758196,48971500
2023-09-01,32.209999,32.689999,31.959999,32.630001,31.422667,50089200
2023-09-04,32.680000,32.720001,32.209999,32.290001,31.095245,21667400
2023-09-05,32.270000,33.490002,32.220001,33.369999,32.135284,75082900
2023-09-06,33.349998,33.799999,33.220001,33.520000,32.279736,57856500
2023-09-08,33.480000,33.669998,33.259998,33.400002,32.164177,39074100
2023-09-11,33.470001,33.689999,33.330002,33.369999,32.135284,30276200
2023-09-12,33.549999,33.779999,33.490002,33.529999,32.289364,31963000
2023-09-13,33.650002,33.700001,33.029999,33.029999,31.807863,47685700
2023-09-14,33.099998,34.000000,33.099998,33.869999,32.616783,46502100
2023-09-15,33.869999,33.990002,33.610001,33.889999,32.636044,54801500
2023-09-18,34.000000,34.709999,33.849998,34.130001,32.867165,52363400
2023-09-19,34.209999,34.619999,34.070000,34.209999,32.944202,43247200
2023-09-20,34.150002,34.610001,34.009998,34.290001,33.021244,39102300
2023-09-21,34.000000,34.290001,33.630001,33.759998,32.510853,60109400
2023-09-22,34.020000,34.189999,33.810001,34.029999,32.770863,31020500
2023-09-25,33.950001,34.330002,33.930000,34.250000,32.982723,26767200
2023-09-26,34.000000,34.090000,33.459999,33.459999,32.221954,60687500
2023-09-27,33.860001,34.520000,33.779999,34.520000,33.242733,53708700
2023-09-28,34.450001,34.540001,34.209999,34.450001,33.175323,30765000
2023-09-29,34.500000,34.689999,34.250000,34.639999,33.358292,40227600
2023-10-02,34.549999,34.770000,33.930000,34.119999,32.857533,34403400
2023-10-03,33.970001,34.230000,33.630001,33.970001,32.713085,37947300
2023-10-04,33.599998,33.709999,32.389999,32.619999,31.413034,88895900
2023-10-05,32.509998,32.939999,32.290001,32.730000,31.518965,35342000
2023-10-06,32.599998,33.820000,32.330002,33.509998,32.270103,48132800
2023-10-09,34.150002,35.080002,34.099998,34.950001,33.656822,77528400
2023-10-10,34.900002,35.340000,34.740002,35.209999,33.907204,48326500
2023-10-11,35.139999,35.250000,34.490002,35.119999,33.820530,41578500
2023-10-13,35.790001,36.360001,35.779999,36.279999,34.937611,66943700
2023-10-16,36.400002,36.799999,35.959999,36.680000,35.322811,49626600
2023-10-17,36.700001,37.669998,36.630001,37.669998,36.276180,68814800
2023-10-18,37.990002,38.610001,37.910000,38.520000,37.094730,85931700
2023-10-19,38.360001,38.470001,37.919998,38.340000,36.921391,56016600
2023-10-20,38.689999,38.860001,37.389999,37.849998,36.449520,66242400
2023-10-23,36.590000,36.799999,35.259998,35.349998,34.042023,104499100
2023-10-24,35.650002,36.189999,35.169998,35.880001,34.552414,78634900
2023-10-25,36.080002,36.279999,35.750000,36.070000,34.735382,32846500
2023-10-26,35.849998,35.930000,35.150002,35.700001,34.379074,47858600
2023-10-27,36.209999,36.459999,35.169998,35.439999,34.128693,45843100
2023-10-30,35.580002,35.720001,34.860001,35.080002,33.782013,31346900
2023-10-31,35.009998,35.180000,34.490002,34.740002,33.454594,36965200
2023-11-01,35.020000,35.540001,34.900002,35.119999,33.820530,46335300
2023-11-03,35.790001,35.889999,35.049999,35.540001,34.224995,30959700
2023-11-06,35.740002,36.130001,35.509998,35.509998,34.196102,33583600
2023-11-07,35.070000,35.419998,34.660000,34.919998,33.627930,48919900
2023-11-08,34.599998,34.799999,33.910000,34.169998,32.905682,59742900
2023-11-09,34.500000,35.150002,34.360001,34.880001,33.589413,56231100
2023-11-10,34.660000,35.060001,34.509998,34.720001,33.435333,40004800
2023-11-13,34.680000,35.750000,34.669998,35.689999,34.369442,44120000
2023-11-14,35.689999,36.240002,35.490002,36.180000,34.841312,50888600
2023-11-16,35.980000,36.490002,35.500000,35.549999,34.234623,72361200
2023-11-17,35.830002,36.919998,35.820000,36.709999,35.351700,87666300
2023-11-20,36.770000,37.220001,36.270000,36.740002,35.380592,67796900
2023-11-21,36.540001,36.540001,35.910000,36.360001,35.014652,49597800
2023-11-22,34.900002,35.160000,34.250000,35.160000,35.160000,58578300
2023-11-23,35.130001,35.250000,34.810001,35.169998,35.169998,24068100
2023-11-24,34.980000,35.820000,34.709999,35.270000,35.270000,53456200
2023-11-27,35.000000,35.400002,34.750000,35.070000,35.070000,36996000
2023-11-28,35.169998,35.619999,35.150002,35.599998,35.599998,36875900
2023-11-29,35.900002,36.029999,34.939999,35.230000,35.230000,37528600
2023-11-30,35.459999,35.919998,35.240002,35.910000,35.910000,58808800
2023-12-01,35.720001,36.000000,35.529999,35.669998,35.669998,36388100
2023-12-04,35.439999,35.549999,34.849998,34.910000,34.910000,35601900
2023-12-05,34.919998,35.169998,34.680000,34.750000,34.750000,43234200
2023-12-06,34.549999,34.799999,33.500000,33.500000,33.500000,64179200
2023-12-07,33.650002,34.180000,33.040001,33.419998,33.419998,64723900
2023-12-08,33.709999,34.540001,33.480000,34.490002,34.490002,53290700
2023-12-11,34.459999,34.689999,34.240002,34.360001,34.360001,30613300
2023-12-12,34.549999,34.599998,33.799999,34.080002,34.080002,30371500
2023-12-13,34.209999,34.619999,34.139999,34.570000,34.570000,38992900
2023-12-14,35.000000,35.740002,34.840000,35.320000,35.320000,57950000
2023-12-15,35.279999,35.790001,35.000000,35.400002,35.400002,56570100
2023-12-18,35.750000,36.299999,35.580002,35.840000,35.840000,44474300
2023-12-19,35.959999,36.250000,35.810001,36.250000,36.250000,32183000
2023-12-20,36.369999,36.740002,36.290001,36.380001,36.380001,38947900
2023-12-21,36.669998,36.680000,36.070000,36.389999,36.389999,30511900
2023-12-22,36.500000,36.799999,36.369999,36.740002,36.740002,31234700
2023-12-26,36.860001,37.369999,36.830002,37.330002,37.330002,23466800
2023-12-27,37.320000,37.430000,37.130001,37.360001,37.360001,19588500
2023-12-28,37.230000,37.360001,37.040001,37.240002,37.240002,21421900
2024-01-02,37.439999,37.889999,37.400002,37.779999,37.779999,24043800
2024-01-03,37.799999,39.119999,37.669998,38.959999,38.959999,52300200
2024-01-04,39.119999,39.349998,38.509998,38.630001,38.630001,45344900
2024-01-05,38.869999,39.139999,38.410000,38.720001,38.720001,35783700
2024-01-08,38.380001,38.430000,37.610001,38.430000,38.430000,35158100
2024-01-09,38.669998,38.750000,38.029999,38.099998,38.099998,27279000
2024-01-10,38.099998,38.270000,37.509998,37.750000,37.750000,27382000
2024-01-11,37.980000,38.150002,37.700001,38.070000,38.070000,26564400
2024-01-12,38.500000,38.730000,38.169998,38.169998,38.169998,24479500
2024-01-15,37.990002,38.619999,37.860001,38.580002,38.580002,13818300
2024-01-16,38.610001,38.790001,38.080002,38.099998,38.099998,31277700
2024-01-17,37.970001,38.150002,37.820000,37.880001,37.880001,27577300
2024-01-18,38.139999,38.139999,37.560001,37.730000,37.730000,22987200
2024-01-19,37.810001,37.900002,37.230000,37.529999,37.529999,31745200
2024-01-22,37.500000,37.810001,37.230000,37.700001,37.700001,22753700
